pokemonId;hasItem;hasHiddenAbility;hasEggMove;hasPokerus;hasPerfectIV;isShiny;level;date;time;userId;liked;trainerId
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;34417;1565;dislike;42534
352;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;31;2015-02-08;52980;1615;;43610
4;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;62836;1424;;44419
13;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;11841;669;;44578
263;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;51635;1278;dislike;45561
519;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;58438;1618;;46989
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;40202;1424;dislike;47445
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;61690;1424;dislike;47507
265;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;61690;1424;dislike;47507
371;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;1;2015-02-08;59128;669;;47764
587;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;19;2015-02-08;40238;1424;like;48489
280;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;62140;1424;dislike;48749
679;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;56900;669;;50206
295;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;47;2015-02-08;52571;1503;;52034
10;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;3;2015-02-08;47280;669;dislike;52501
495;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;61808;1424;like;53570
320;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;25;2015-02-08;61363;1424;;54180
44;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;44;2015-02-08;32711;1614;;54192
659;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;55401;1278;;54775
281;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;24;2015-02-08;34311;1565;;55761
669;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;14;2015-02-08;62801;1424;like;55808
300;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;29;2015-02-08;10140;669;dislike;56051
366;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;30;2015-02-08;6328;669;;56155
261;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;2;2015-02-08;48185;669;dislike;56969
51;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;26;2015-02-08;4270;1278;like;57173
661;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;1;2015-02-08;63155;1424;;57436
309;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;23;2015-02-08;62285;1424;;58310
25;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;6;2015-02-08;36803;1565;dislike;58760
263;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;16;2015-02-08;54933;1616;dislike;58878
659;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;11;2015-02-08;58544;1618;;59459
636;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;73376;669;;60002
51;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;28;2015-02-08;44412;669;;60362
577;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;25;2015-02-08;58102;1278;like;60414
246;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;1;2015-02-08;63250;1424;like;60442
175;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;1;2015-02-08;15559;669;;61989
